range,codepoint,char,unicode_name,image_file
Miscellaneous Symbols (common music signs),U+2669,♩,QUARTER NOTE,images/U+2669_QUARTER_NOTE.png
Miscellaneous Symbols (common music signs),U+266A,♪,EIGHTH NOTE,images/U+266A_EIGHTH_NOTE.png
Miscellaneous Symbols (common music signs),U+266B,♫,BEAMED EIGHTH NOTES,images/U+266B_BEAMED_EIGHTH_NOTES.png
Miscellaneous Symbols (common music signs),U+266C,♬,BEAMED SIXTEENTH NOTES,images/U+266C_BEAMED_SIXTEENTH_NOTES.png
Miscellaneous Symbols (common music signs),U+266D,♭,MUSIC FLAT SIGN,images/U+266D_MUSIC_FLAT_SIGN.png
Miscellaneous Symbols (common music signs),U+266E,♮,MUSIC NATURAL SIGN,images/U+266E_MUSIC_NATURAL_SIGN.png
Miscellaneous Symbols (common music signs),U+266F,♯,MUSIC SHARP SIGN,images/U+266F_MUSIC_SHARP_SIGN.png
Byzantine Musical Symbols,U+1D000,𝀀,BYZANTINE MUSICAL SYMBOL PSILI,images/U+1D000_BYZANTINE_MUSICAL_SYMBOL_PSILI.png
Byzantine Musical Symbols,U+1D001,𝀁,BYZANTINE MUSICAL SYMBOL DASEIA,images/U+1D001_BYZANTINE_MUSICAL_SYMBOL_DASEIA.png
Byzantine Musical Symbols,U+1D002,𝀂,BYZANTINE MUSICAL SYMBOL PERISPOMENI,images/U+1D002_BYZANTINE_MUSICAL_SYMBOL_PERISPOMENI.png
Byzantine Musical Symbols,U+1D003,𝀃,BYZANTINE MUSICAL SYMBOL OXEIA EKFONITIKON,images/U+1D003_BYZANTINE_MUSICAL_SYMBOL_OXEIA_EKFONITIKON.png
Byzantine Musical Symbols,U+1D004,𝀄,BYZANTINE MUSICAL SYMBOL OXEIA DIPLI,images/U+1D004_BYZANTINE_MUSICAL_SYMBOL_OXEIA_DIPLI.png
Byzantine Musical Symbols,U+1D005,𝀅,BYZANTINE MUSICAL SYMBOL VAREIA EKFONITIKON,images/U+1D005_BYZANTINE_MUSICAL_SYMBOL_VAREIA_EKFONITIKON.png
Byzantine Musical Symbols,U+1D006,𝀆,BYZANTINE MUSICAL SYMBOL VAREIA DIPLI,images/U+1D006_BYZANTINE_MUSICAL_SYMBOL_VAREIA_DIPLI.png
Byzantine Musical Symbols,U+1D007,𝀇,BYZANTINE MUSICAL SYMBOL KATHISTI,images/U+1D007_BYZANTINE_MUSICAL_SYMBOL_KATHISTI.png
Byzantine Musical Symbols,U+1D008,𝀈,BYZANTINE MUSICAL SYMBOL SYRMATIKI,images/U+1D008_BYZANTINE_MUSICAL_SYMBOL_SYRMATIKI.png
Byzantine Musical Symbols,U+1D009,𝀉,BYZANTINE MUSICAL SYMBOL PARAKLITIKI,images/U+1D009_BYZANTINE_MUSICAL_SYMBOL_PARAKLITIKI.png
